headbreadth,headcircumference,headlength,tragiontopofhead,n_hairs,measurement_error
150,583,206,140,100016.24345363663,0.1
146,568,201,120,99993.8824358635,0.1
148,573,202,125,99994.71828247736,0.1
158,576,199,127,99989.27031377844,0.1
153,566,197,122,100008.65407629324,0.1
155,576,198,132,99976.9846130312,0.1
158,612,211,139,100017.44811764215,0.1
156,551,185,131,99992.38793099106,0.1
160,578,198,128,100003.19039096058,0.1
146,549,190,116,99997.50629624522,0.1
155,578,200,142,100014.62107937044,0.1
148,548,189,126,99979.39859290502,0.1
154,580,199,118,99996.77582795986,0.1
165,606,208,134,99996.15945645332,0.1
160,565,186,128,100011.33769442336,0.1
152,567,199,133,99989.00108732686,0.1
160,575,195,133,99998.2757179245,0.1
153,554,188,130,99991.2214158208,0.1
150,567,196,126,100000.42213746716,0.1
150,582,204,135,100005.82815213715,0.1
150,588,202,132,99988.99380822788,0.1
149,568,197,132,100011.4472370984,0.1
150,573,203,140,100009.01590720592,0.1
153,575,201,135,100005.024943389,0.1
159,600,211,132,100009.00855949263,0.1
155,552,187,137,99993.16272140824,0.1
154,590,206,130,99998.77109774482,0.1
155,575,196,115,99990.6423056574,0.1
150,571,203,130,99997.32111920374,0.1
148,568,200,128,100005.30355466738,0.1
149,583,206,132,99993.08339248276,0.1
153,595,213,134,99996.03246473144,0.1
153,554,188,128,99993.1282729988,0.1
152,570,202,126,99991.547943585,0.1
149,560,197,136,99993.28753869164,0.1
149,578,205,135,99999.8733540108,0.1
150,562,193,138,99988.82689651364,0.1
144,577,204,127,100002.34415697816,0.1
145,583,205,123,100016.5980217711,0.1
160,605,204,135,100007.42044160578,0.1
155,577,202,139,99998.08164447638,0.1
152,563,197,133,99991.12371035916,0.1
156,594,207,124,99992.5284170625,0.1
160,590,200,138,100016.92454601028,0.1
146,568,206,131,100000.50807754775,0.1
162,573,190,145,99993.6300435343,0.1
144,550,193,124,100001.90915484668,0.1
153,583,203,136,100021.0025513648,0.1
155,590,201,128,100001.20158952482,0.1
149,558,193,125,100006.17203109708,0.1
150,563,197,135,100003.00170319957,0.1
152,582,208,128,99996.47750153506,0.1
144,530,183,111,99988.57481801978,0.1
152,574,197,133,99996.50657277588,0.1
157,578,201,126,99997.91105766624,0.1
160,595,200,135,100005.86623191182,0.1
151,568,193,126,100008.38983413874,0.1
152,582,204,123,100009.31102081304,0.1
168,574,192,120,100002.85587325254,0.1
158,580,200,130,100008.85141164272,0.1
155,557,193,131,99992.45602059003,0.1
154,564,193,131,100012.52868155231,0.1
148,566,200,132,100005.12929820418,0.1
154,547,190,124,99997.01907164896,0.1
155,566,192,137,100004.88518146538,0.1
157,567,193,135,99999.24428286978,0.1
158,569,190,140,100011.31629387452,0.1
161,600,212,130,100015.19816816422,0.1
148,552,193,120,100021.85575406531,0.1
155,575,195,130,99986.03503664512,0.1
155,570,201,138,99985.5588619457,0.1
154,574,200,125,99994.95534137051,0.1
154,580,198,139,100001.60037069448,0.1
152,592,211,140,100008.76168921115,0.1
161,583,200,130,100003.1563494724,0.1
148,569,204,128,99979.77798784176,0.1
158,557,185,132,99996.93795987371,0.1
153,585,207,126,100008.27974642608,0.1
147,563,200,141,100002.30094735364,0.1
168,628,218,149,100007.62011180312,0.1
148,587,212,131,99997.77671857388,0.1
154,583,206,136,99997.9924193107,0.1
144,567,202,132,100001.86561390987,0.1
159,600,208,144,100004.10051647208,0.1
154,584,203,133,100001.98299720128,0.1
150,541,185,136,100001.19008645808,0.1
153,570,196,125,99993.2933771371,0.1
157,566,195,135,100003.7756378632,0.1
149,555,197,125,100001.21821270992,0.1
159,570,194,134,100011.29483907911,0.1
155,574,198,130,100011.98917879902,0.1
157,568,194,131,100001.85156417484,0.1
153,580,203,129,99996.2471504991,0.1
143,552,193,125,99993.61269592546,0.1
151,573,205,133,100004.23494354064,0.1
143,564,198,132,100000.77340068348,0.1
153,560,191,129,99996.56146324427,0.1
151,530,178,122,100000.43596856834,0.1
158,592,205,138,99993.79999156052,0.1
152,585,209,130,100006.98032034072,0.1
147,553,193,130,99995.52871435214,0.1
165,563,180,138,100012.24507704804,0.1
152,593,208,133,100004.0349164179,0.1
158,575,196,135,100005.93578523236,0.1
146,565,201,129,99989.0508815426,0.1
158,582,198,128,100001.6938243306,0.1
151,577,203,128,100007.40556451096,0.1
153,585,207,133,99990.46299398191,0.1
151,580,204,135,99997.33781493997,0.1
